IMPONENTE_ID;SALDOS;FECHA_CIERRE;MONTO_CUOTA
14136;49434;31/08/2020;8239
18404;123564;31/08/2020;10594
22268;131294;31/08/2020;8549
26948;380000;31/08/2020;50000
28409;90921;31/08/2020;8650
4879;101545;31/08/2020;6789
12371;134120;31/08/2020;9020
9033;84575;31/08/2020;4915
12879;147020;31/08/2020;13404
13011;84145;31/08/2020;4829
27919;740006;31/08/2020;40000
16736;155000;31/08/2020;15000
24305;134306;31/08/2020;9051
27142;71890;31/08/2020;4378
35515;163064;31/08/2020;13844
4242;95776;31/08/2020;9296
17514;94170;31/08/2020;8055
19073;161846;31/08/2020;13641
21380;133508;31/08/2020;8918
5822;195594;31/08/2020;32599
7257;41538;31/08/2020;6923
12624;118310;31/08/2020;6385
13372;83425;31/08/2020;4685
3815;32664;31/08/2020;5444
7894;71736;31/08/2020;11956
11970;47918;31/08/2020;3959
15678;92148;31/08/2020;6074
17033;92420;31/08/2020;5024
9167;56868;31/08/2020;14217
9797;103275;31/08/2020;4655
28723;103450;31/08/2020;4690
32685;0;31/08/2020;0
20855;92092;31/08/2020;7782
31664;150806;31/08/2020;11801
25554;63015;31/08/2020;5405
34004;151692;31/08/2020;13932
20199;196694;31/08/2020;19449
5833;128386;31/08/2020;5699
10462;270350;31/08/2020;15385
11964;82712;31/08/2020;5908
18616;167661;31/08/2020;6415
21940;280000;31/08/2020;20000
27049;161414;31/08/2020;8451
34679;354097;31/08/2020;15297
24316;300000;31/08/2020;20000
6220;222688;31/08/2020;10192
4731;77216;31/08/2020;5024
4561;224408;31/08/2020;12034
16144;134519;31/08/2020;5695
21454;235000;31/08/2020;15000
23888;146010;31/08/2020;8015
24211;280000;31/08/2020;20000
24799;156890;31/08/2020;6669
26416;119336;31/08/2020;8524
5389;185058;31/08/2020;10834
25677;44649;31/08/2020;4961
29947;211802;31/08/2020;11982
18328;100940;31/08/2020;6094
19422;161920;31/08/2020;10192
31683;225000;31/08/2020;25000
14539;202634;31/08/2020;13626
22063;109080;31/08/2020;5908
14970;80211;31/08/2020;3879
30799;103970;31/08/2020;6397
32900;193346;31/08/2020;12594
17249;162920;31/08/2020;10622
6669;206600;31/08/2020;15000
6716;147495;31/08/2020;7662
9387;145499;31/08/2020;6669
13616;111715;31/08/2020;7035
24782;39027;31/08/2020;3103
35896;112950;31/08/2020;5295
36842;80454;31/08/2020;6818
30528;165132;31/08/2020;10000
1828;66654;31/08/2020;7406
3135;34686;31/08/2020;3854
5608;43731;31/08/2020;4859
8805;98565;31/08/2020;4285
12278;150000;31/08/2020;15000
12668;200000;31/08/2020;20000
19851;200000;31/08/2020;20000
22719;220597;31/08/2020;18873
2671;163706;31/08/2020;13951
6263;117590;31/08/2020;6265
10698;92664;31/08/2020;5444
15835;63904;31/08/2020;3984
16128;84222;31/08/2020;6487
2082;500743;31/08/2020;20000
20930;277473;31/08/2020;8918
2445;173540;31/08/2020;4859
16591;223693;31/08/2020;8807
9446;147348;31/08/2020;6734
24655;180024;31/08/2020;20000
27358;70438;31/08/2020;6073
16157;120000;31/08/2020;20000
27871;24150;31/08/2020;4025
30942;50000;31/08/2020;10000
21713;173248;31/08/2020;11656
5361;106925;31/08/2020;5385
23053;136512;31/08/2020;8314
23259;105752;31/08/2020;9469
24552;118310;31/08/2020;6385
9031;133872;31/08/2020;6734
11982;87432;31/08/2020;6858
5356;129434;31/08/2020;8239
6644;177335;31/08/2020;19467
9315;15561;31/08/2020;5187
;96478;31/08/2020;8239
;61744;31/08/2020;5444
30841;94970;31/08/2020;6994
5937;83255;31/08/2020;8085
27819;34047;31/08/2020;47
13374;103844;31/08/2020;5961
15132;107220;31/08/2020;5444
2889;126790;31/08/2020;9358
5466;111320;31/08/2020;6264
8055;58420;31/08/2020;11684
17988;110365;31/08/2020;6073
19697;69048;31/08/2020;3962
22412;120100;31/08/2020;15000
33197;81509;31/08/2020;10503
34906;76090;31/08/2020;5658
;88918;31/08/2020;8918
3945;23844;31/08/2020;5961
7997;56819;31/08/2020;19
